storeName,storeLoc,avgRating,noReviews,cuisineType,priceRange,specialDiet,district,food,service,value,atmosphere
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",3.5,310,"Cafe, European, Swedish, Scandinavian",SGD 7 - SGD 13,Halal,Tampines North,3.5.1,3.5.2,4,3.5.3
Black Angus Steakhouse,"1 Tanglin Road # 01 Orchard Parade Hotel 08, Singapore 247905 Singapore",3.5,411,"American, Steakhouse, Bar",SGD 26 - SGD 66,Gluten Free Options,Central Area/City Area0.7 miles from Singapore Botanic Gardens,3.5,3.5,3,3.5
Shin Kushiya - VivoCity,"1 Harbourfront Walk #02-120 VivoCity, Singapore 098585 Singapore",3.5,193,"Japanese, Asian",SGD 20 - SGD 40,"Lunch, Dinner, Brunch",Bukit Merah0.6 miles from Singapore Cable Car,4,3.5,3.5,3.5
Gudetama Cafe,"3 Temasek Boulevard Suntec City Mall 01-361 Suntec City Mall, Singapore 038983 Singapore",3.5,234,"Breakfast, Lunch, Dinner, Brunch",Cafe,"Takeout, Seating, Highchairs Available, Table Service, Reservations",Marina Centre0.5 miles from Merlion Park,3.5,3.5,3,4
Supply and Demand,"8 Raffles Avenue Esplanade Mall Esplanade Mall #01-13 Annexe, Singapore 039802 Singapore",3.5,336,"Lunch, Dinner, Late Night, Drinks",Vegetarian Friendly,"Bar, Pizza, Italian, Diner, Gastropub",Marina Centre0.2 miles from Merlion Park,4,3.5,3.5,4
Nam Nam Noodle Bar,"Wheelock Place #B2-02 Wheelock Place  501, Singapore 238880, Singapore Singapore",3.5,235,"Vegetarian Friendly, Vegan Options","Asian, Vietnamese","Lunch, Dinner, Brunch",Museum0.5 miles from Orchard Road,3.5,3.5,3.5,3
RENNthai,"3D, River Valley Road #01-05, Singapore 179023 Singapore",3.5,359,"Lunch, Dinner, Late Night, Drinks","Vegetarian Friendly, Vegan Options, Gluten Free Options","Asian, Thai",Central Area/City Area0.4 miles from Asian Civilisations Museum,3.5,3.5,3,3.5
Marche Movenpick,"252 North Bridge Road Raffles City Shopping Centre #01-17A Raffles City Shopping Centre, Singapore 179103 Singapore",3.5,284,"Vegetarian Friendly, Vegan Options","Bar, Pizza, European","Breakfast, Lunch, Dinner, Brunch, Late Night",City Hall0.1 miles from City Hall Building,4,4,3.5,4
The Penny Black Victorian London Pub,"26/27 Boat Quay, Singapore 049817 Singapore",3.5,259,"Bar, European, British, Pub",SGD 16 - SGD 33,"Lunch, Dinner, Brunch, Late Night, Drinks",Central Area/City Area0.3 miles from Merlion Park,3.5,4,3.5,4
No Signboard Seafood,"414 Geylang Road, Singapore 389392 Singapore",3.5,756,"Lunch, Dinner, Late Night","Chinese, Seafood, Asian, Singaporean","Takeout, Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service",Red Light District1.7 miles from East Coast Park,4,3.5,3,3.5
Cali Ascott Raffles Place,"2 Finlayson Green Ascott Singapore Raffles Place, Singapore 049247 Singapore",3.5,162,"Bar, International, Grill",SGD 21 - SGD 50,"Breakfast, Lunch, Dinner, Drinks",Rochor0.3 miles from Little India,3.5,3.5,3.5,3.5
